temp,M,S,L
35,4.439704799,0.231777364,0.992428882
35.1,4.4491421,0.228567837,0.964473087
35.2,4.45856515,0.225404539,0.936524254
35.3,4.468009675,0.222291724,0.908566407
35.4,4.477563336,0.219244753,0.880819326
35.5,4.487377436,0.216289285,0.853658168
35.6,4.497880278,0.213459487,0.827542549
35.7,4.509574685,0.210787159,0.803055126
35.8,4.522925778,0.208299491,0.781000554
35.9,4.538559651,0.206009314,0.762004842
36,4.557062076,0.203914455,0.746738352
36.1,4.578977208,0.20198242,0.735938769
36.2,4.605002578,0.200154961,0.729972438
36.3,4.635817104,0.198348077,0.72901302
36.4,4.671930575,0.196455794,0.733292021
36.5,4.714016842,0.194388883,0.742864735
36.6,4.762881664,0.192112298,0.757872125
36.7,4.81873339,0.189654416,0.778650051
36.8,4.881393343,0.187071373,0.805413004
36.9,4.950291625,0.184383465,0.838224771
37,5.024511421,0.18155143,0.876542162
37.1,5.102891959,0.178532308,0.919278024
37.2,5.184044372,0.175323226,0.965103429
37.3,5.266552549,0.171947021,1.012848808
37.4,5.349485184,0.168436083,1.061766305
37.5,5.432131165,0.16481565,1.110913488
37.6,5.513684598,0.161115129,1.159412068
37.7,5.593287974,0.157379356,1.206889873
37.8,5.670593013,0.153668267,1.252962303
37.9,5.745399721,0.1500344,1.297316969
38,5.817548369,0.146521588,1.339560311
38.1,5.88671408,0.143154021,1.379290634
38.2,5.952690558,0.13994041,1.416242447
38.3,6.015599904,0.136887887,1.450315569
38.4,6.075786422,0.134006669,1.481489041
38.5,6.133587487,0.131306584,1.509877201
38.6,6.189241112,0.128797319,1.535730313
38.7,6.242917551,0.126481097,1.559372376
38.8,6.294659701,0.124352317,1.581193805
38.9,6.344502469,0.122400683,1.60160155
39,6.392592365,0.120614028,1.620953326
39.1,6.439185125,0.118983127,1.639524918
39.2,6.484449007,0.11749111,1.657595882
39.3,6.528545919,0.116118048,1.675408274
39.4,6.571651706,0.114843711,1.693154128
39.5,6.613809779,0.113647424,1.710990071
39.6,6.654978476,0.112509795,1.729027939
39.7,6.695134061,0.111414459,1.747330675
39.8,6.734324155,0.110349433,1.765857845
39.9,6.772704442,0.109309017,1.784553258
40,6.810489675,0.108289514,1.803379528
40.1,6.847854091,0.107288258,1.822321331
40.2,6.884938937,0.106303148,1.841361917
40.3,6.921839081,0.105330731,1.860468412
40.4,6.958614833,0.10436772,1.879603806
40.5,6.99532664,0.103412814,1.898740017
